Index,Time [s],P [mbar],AX [m/s2],AY [m/s2],AZ [m/s2],AMag [m/s2]
103,0.05029296875,983.1,-0.4,-1.5,1.3,2.02
104,0.05078125,983.0,1.2,2.1,-2.7,3.62
105,0.05126953125,983.0,-1.0,-1.1,-1.2,1.91
106,0.0517578125,983.0,1.2,0.7,-2.3,2.69
107,0.05224609375,983.0,-1.2,0.2,-1.2,1.71
108,0.052734375,983.0,1.6,1.7,-2.0,3.07
109,0.05322265625,983.0,-0.4,-2.5,-2.2,3.35
110,0.0537109375,983.0,1.2,0.5,-3.9,4.11
111,0.05419921875,983.0,-0.3,-2.1,0.3,2.14
112,0.0546875,983.0,-0.9,0.7,-2.5,2.75
113,0.05517578125,983.0,-1.2,0.4,-1.2,1.74
114,0.0556640625,983.0,2.2,-0.5,-1.8,2.89
115,0.05615234375,983.0,-0.4,-1.9,0.3,1.96
116,0.056640625,983.0,1.2,0.7,-2.5,2.86
117,0.05712890625,983.0,-1.4,-0.2,-0.6,1.54
118,0.0576171875,983.0,0.6,0.9,-3.1,3.28
119,0.05810546875,983.0,-1.6,-0.7,-0.8,1.92
120,0.05859375,983.0,0.5,1.5,-2.7,3.13
121,0.05908203125,983.0,-1.0,-0.7,0.3,1.26
122,0.0595703125,983.0,0.3,1.5,-1.8,2.36
123,0.06005859375,983.0,-1.6,-1.7,-1.6,2.83
124,0.060546875,983.0,0.1,1.7,-2.9,3.36
125,0.06103515625,983.0,-1.8,-0.9,0.9,2.2
126,0.0615234375,983.0,0.1,0.7,-2.5,2.6
127,0.06201171875,983.0,-0.3,-2.1,-2.2,3.06
128,0.0625,983.0,0.6,2.1,-2.5,3.32
129,0.06298828125,983.0,-1.2,-1.3,0.3,1.79
130,0.0634765625,983.0,-0.5,0.7,-2.3,2.46
131,0.06396484375,983.0,-0.4,-2.1,-2.0,2.93
132,0.064453125,983.0,1.6,-0.1,-2.0,2.56
133,0.06494140625,983.0,-1.6,-1.1,-2.2,2.93
134,0.0654296875,983.0,0.1,2.5,-2.1,3.27
135,0.06591796875,983.0,-1.2,-2.1,-1.8,3.01
136,0.06640625,983.0,0.3,-0.7,-2.1,2.23
137,0.06689453125,983.0,-0.8,-2.3,-1.6,2.91
138,0.0673828125,983.0,1.8,-0.3,-2.0,2.71
139,0.06787109375,983.0,-0.1,-2.5,0.3,2.52
140,0.068359375,983.0,0.3,0.5,-4.1,4.14
141,0.06884765625,983.0,-2.0,-0.4,-0.6,2.13
142,0.0693359375,983.0,0.1,0.5,-2.1,2.16
143,0.06982421875,983.0,-1.2,-0.9,-0.6,1.62
144,0.0703125,983.0,0.6,0.7,-3.1,3.23
145,0.07080078125,982.9,-1.8,-1.3,-0.4,2.26
146,0.0712890625,982.9,-1.5,1.1,-2.5,3.12
147,0.07177734375,982.9,-1.6,-1.1,-0.6,2.03
148,0.072265625,982.9,1.2,-0.9,-3.9,4.18
149,0.07275390625,982.9,-1.6,-0.7,-1.4,2.24
150,0.0732421875,982.9,-0.3,0.7,-3.7,3.78
151,0.07373046875,982.9,-0.4,-0.4,0.3,0.64
152,0.07421875,982.9,1.6,0.9,-2.3,2.94
153,0.07470703125,982.9,-1.6,-1.7,0.3,2.35
154,0.0751953125,982.9,0.1,-0.9,-2.9,3.04
155,0.07568359375,982.9,-1.8,-1.7,-0.6,2.55
156,0.076171875,982.9,0.5,-0.1,0.0,0.51
157,0.07666015625,982.9,-1.8,-1.9,0.3,2.63
158,0.0771484375,982.9,0.1,0.5,-0.4,0.65
159,0.07763671875,982.9,-0.6,-0.9,-0.8,1.35
160,0.078125,982.9,-0.5,-1.3,-2.3,2.69
161,0.07861328125,982.9,-0.8,-2.1,-2.0,3.01
162,0.0791015625,982.9,0.6,0.3,-2.5,2.59
163,0.07958984375,982.9,-3.2,-1.7,-0.4,3.65
164,0.080078125,982.9,0.1,-0.7,-1.8,1.93
165,0.08056640625,982.9,-1.6,-2.9,0.9,3.43
166,0.0810546875,982.9,0.1,3.4,-1.8,3.85
167,0.08154296875,982.9,-1.6,-2.1,0.1,2.64
168,0.08203125,982.9,1.4,0.1,-2.9,3.22
169,0.08251953125,982.9,-1.2,-1.5,-0.2,1.93
170,0.0830078125,982.9,-0.5,1.7,-2.7,3.23
171,0.08349609375,982.9,-1.6,-1.1,-0.2,1.95
172,0.083984375,982.9,-0.1,0.5,-1.0,1.12
173,0.08447265625,982.9,-0.8,-0.7,-0.2,1.08
174,0.0849609375,982.9,0.6,0.1,-3.3,3.36
175,0.08544921875,982.9,-1.0,-0.9,-1.2,1.8
176,0.0859375,982.9,0.1,1.1,-2.1,2.37
177,0.08642578125,982.9,-1.6,-1.9,0.1,2.49
178,0.0869140625,982.9,0.5,0.9,-2.3,2.52
179,0.08740234375,982.9,-0.4,-1.3,-1.4,1.95
180,0.087890625,982.9,0.1,1.3,-1.8,2.22
181,0.08837890625,982.9,-1.0,-1.3,-0.6,1.75
182,0.0888671875,982.9,0.1,1.1,-2.7,2.92
183,0.08935546875,982.9,-0.4,-4.5,0.1,4.52
184,0.08984375,982.9,1.4,0.1,-2.7,3.04
185,0.09033203125,982.9,-1.6,-2.1,-0.6,2.71
186,0.0908203125,982.8,1.8,0.9,-3.1,3.7
187,0.09130859375,982.8,-0.6,-0.9,0.9,1.41
188,0.091796875,982.8,0.1,0.5,-2.0,2.06
189,0.09228515625,982.8,-0.8,-1.3,0.1,1.53
190,0.0927734375,982.8,1.4,1.3,-1.8,2.62
191,0.09326171875,982.8,-0.3,-2.5,-1.2,2.79
192,0.09375,982.8,-0.9,0.5,-2.1,2.34
193,0.09423828125,982.8,-0.8,-1.1,-1.4,1.95
194,0.0947265625,982.8,0.8,1.3,-2.3,2.76
195,0.09521484375,982.8,-0.6,-1.3,0.9,1.69
196,0.095703125,982.8,1.8,0.3,-4.1,4.49
197,0.09619140625,982.8,-0.1,-1.5,-1.0,1.81
198,0.0966796875,982.8,0.8,0.7,-2.7,2.9
199,0.09716796875,982.8,-2.0,-1.7,-0.6,2.69
200,0.09765625,982.8,0.1,2.3,-2.0,3.05
201,0.09814453125,982.8,-2.4,-0.7,0.9,2.66
202,0.0986328125,982.8,-0.3,2.1,-2.0,2.92
203,0.09912109375,982.8,-0.4,-0.5,-0.8,1.02
204,0.099609375,982.8,1.2,1.1,-2.7,3.15
205,0.10009765625,982.8,-0.8,-1.7,-0.8,2.04
206,0.1005859375,982.8,1.2,1.5,-2.9,3.48
207,0.10107421875,982.8,-0.8,-0.5,-0.6,1.12
208,0.1015625,982.8,0.8,0.3,-1.8,1.99
209,0.10205078125,982.8,-1.0,-2.3,-1.6,2.97
210,0.1025390625,982.8,0.6,0.3,-2.1,2.2
211,0.10302734375,982.8,-1.2,-1.3,0.7,1.9
212,0.103515625,982.8,0.6,1.3,-2.9,3.23
213,0.10400390625,982.8,-1.6,-1.1,-1.0,2.18
214,0.1044921875,982.8,0.3,1.1,-1.8,2.13
215,0.10498046875,982.8,-1.2,-1.7,0.3,2.1
216,0.10546875,982.8,0.6,0.5,-1.8,1.96
217,0.10595703125,982.8,-0.8,-0.9,0.1,1.21
218,0.1064453125,982.8,0.5,0.9,-2.1,2.34
219,0.10693359375,982.8,-1.8,-1.9,-1.0,2.8
220,0.107421875,982.8,0.3,1.1,-2.5,2.75
221,0.10791015625,982.8,-1.8,-2.5,-0.6,3.14
222,0.1083984375,982.8,0.3,2.3,-2.9,3.71
223,0.10888671875,982.8,0.1,-0.2,-0.2,0.3
224,0.109375,982.8,0.1,0.7,-1.4,1.57
225,0.10986328125,982.8,-0.1,-2.1,-1.8,2.77
226,0.1103515625,982.8,0.3,2.3,-2.9,3.71
227,0.11083984375,982.8,-0.6,-2.7,0.5,2.81
228,0.111328125,982.8,1.0,2.1,-1.4,2.71
229,0.11181640625,982.8,-1.2,-1.1,-0.4,1.68
230,0.1123046875,982.8,1.0,-0.1,-2.3,2.51
231,0.11279296875,982.8,-0.6,-0.2,-0.8,1.02
232,0.11328125,982.8,0.1,1.9,-1.8,2.62
233,0.11376953125,982.8,-0.3,-0.4,0.9,1.03
234,0.1142578125,982.8,-1.3,1.3,-1.8,2.57
235,0.11474609375,982.8,-0.3,-1.3,-0.4,1.39
236,0.115234375,982.8,0.1,2.3,-2.7,3.55
237,0.11572265625,982.8,-0.4,0.2,0.1,0.46
238,0.1162109375,982.8,0.6,-0.7,-1.2,1.51
239,0.11669921875,982.8,-0.3,-1.9,0.7,2.05
240,0.1171875,982.8,0.1,0.7,-1.0,1.22
241,0.11767578125,982.8,-0.8,-0.4,-1.2,1.5
242,0.1181640625,982.8,1.2,1.5,-3.7,4.17
243,0.11865234375,982.8,-0.4,-0.4,-0.4,0.69
244,0.119140625,982.8,-1.3,1.1,-0.8,1.88
245,0.11962890625,982.8,-1.8,-1.9,-1.4,2.97
246,0.1201171875,982.8,0.8,1.1,-1.8,2.26
247,0.12060546875,982.7,-0.4,-1.9,1.1,2.23
248,0.12109375,982.7,0.8,1.3,-1.2,1.94
249,0.12158203125,982.7,-1.8,-1.9,-0.1,2.62
250,0.1220703125,982.7,0.6,1.3,-2.3,2.71
251,0.12255859375,982.7,-1.0,-1.7,-0.2,1.98
252,0.123046875,982.7,0.1,0.5,-3.5,3.54
253,0.12353515625,982.7,-0.4,-0.7,-0.4,0.9
254,0.1240234375,982.7,-0.3,0.5,-1.0,1.16
255,0.12451171875,982.7,-1.0,-1.9,-1.8,2.8
256,0.125,982.7,0.6,0.3,-2.1,2.2
257,0.12548828125,982.7,-2.0,1.4,-0.6,2.51
258,0.1259765625,982.7,-0.7,2.1,-1.4,2.62
259,0.12646484375,982.7,-1.6,-2.1,1.3,2.94
260,0.126953125,982.7,0.8,0.9,-1.0,1.57
261,0.12744140625,982.7,-1.6,-0.9,-1.2,2.19
262,0.1279296875,982.7,0.6,0.5,-1.4,1.6
263,0.12841796875,982.7,-1.4,-1.7,-1.6,2.72
264,0.12890625,982.7,1.0,0.1,0.0,1.0
265,0.12939453125,982.7,-1.6,-0.5,-0.4,1.72
